Adv. Campaign,Clicks,Time
Shopee Indonesia - CPS,15951,D-Apr'23
Shopee SG - CPS,10119,D-Apr'23
Shopee TH - CPS,13241,D-Apr'23
Klook - CPS,4255,D-Apr'23
KKday - CPS,1764,E-May'23
CreditKarma (Paused),4223,E-May'23
Shopee Indonesia - CPS,16008,E-May'23
Shopee SG - CPS,9071,E-May'23
Shopee TH - CPS,23828,E-May'23
Klook - CPS,4574,E-May'23
Semrush - CPA,4156,E-May'23
KKday - CPS,1786,F-Jun'23
CreditKarma (Paused),3973,F-Jun'23
Shopee Indonesia - CPS,16031,F-Jun'23
Shopee SG - CPS,8595,F-Jun'23
Shopee TH - CPS,27465,F-Jun'23
Klook - CPS,4187,F-Jun'23
Semrush - CPA,2099,F-Jun'23
Shopee Indonesia - CPS,4517,G-Jul'23
Shopee SG - CPS,2774,G-Jul'23
Shopee TH - CPS,11491,G-Jul'23
Shopee Indonesia - CPS,4324,H-Aug'23
Shopee SG - CPS,2427,H-Aug'23
Shopee TH - CPS,8569,H-Aug'23
Shopee Indonesia - CPS,3235,I-Sept'23
Shopee SG - CPS,1645,I-Sept'23
Shopee TH - CPS,7810,I-Sept'23
Shopee Indonesia - CPS,3308,J-Oct'23
Shopee SG - CPS,1753,J-Oct'23
Shopee TH - CPS,10085,J-Oct'23
Shopee Indonesia - CPS,3039,K-Nov'23
Shopee SG - CPS,1907,K-Nov'23
Shopee TH - CPS,5735,K-Nov'23
Temu Global - CPS,14862,K-Nov'23
CreditKarma (Paused),1043,L-Dec'23
Shopee Indonesia - CPS,2839,L-Dec'23
Shopee SG - CPS,3078,L-Dec'23
Shopee TH - CPS,5943,L-Dec'23
Shopify CPA,11681,L-Dec'23
Nexo - CPA,1083,L-Dec'23
Temu Global - CPS,24327,L-Dec'23
Thriftbooks - CPS,2642,M-Jan'24
CreditKarma (Paused),2677,M-Jan'24
Shopify CPA,52413,M-Jan'24
Temu Global - CPS,40001,M-Jan'24
Thriftbooks - CPS,2546,N-Feb'24
CreditKarma (Paused),1621,N-Feb'24
Shopify CPA,38125,N-Feb'24
Myprotein - CPS,1704,N-Feb'24
Temu Global - CPS,26884,N-Feb'24
Kiwi.com CPS - Worldwide,1813,G-Jul'23
Croma.com CPS - India,4307,G-Jul'23
Aliexpress.com CPS - Worldwide,45814,G-Jul'23
Samsung.com CPS - India,2956,G-Jul'23
MakeMyTrip.com Domestic Flights CPS - India,5512,G-Jul'23
